#BeginHeader,71
#FormatType,NR-500\NORMAL
#FormatVersion,R5.00.00
Title,
Unit Number,MASTER,UNIT1,UNIT2,UNIT3,UNIT4,UNIT5,UNIT6,UNIT7,UNIT8
Unit,NR-500,(1)EN,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined,Undefined

Acquisition Mode,Normal Mode
Time of Starting Acq.,01/09/2024 14:40:32,628000
Sampling Rate,1ms
Data amount,5001
Output option,Standard

Unit Common
Unit Group,NR-EN16 Common
Unit Sampling Rate,1ms
Function Setting,***
AD Integration Time,***
Anti-aliasing filter,***
Burnout detection,***
Digital filter,***
Additional Setting,***
Digital filter,***
Stop Prediction,***

Discrete EN unit
Unit,(1)EN
Error value,Lower Limit
Communication/Connected device error,***
Value empty,***
Over up lm,***
Under lw lm,***
Power out,24V/0.6A

Trigger Setting
Manual Trigger,OFF
External trigger input,ON
Edge Trigger,OFF
Edge Trigger target unit,None
Pre/Post Trigger,Not Used
No. of Points,0

Channel Setting,
Channel Number,,(1)EN-CH01
Waveform Name,,"LK-G5000 series"
Input,,LK-G5000 series
Unit,,""
Function,,
Hold,,***
Edge Trigger,,Not Used
Trig level,,
Hysteresis,,
Smoothing,,OFF
No. of Points,,
Scaling,,OFF
Acquired value 1,,
Acquired value 2,,
Displayed value 1,,
Displayed value 2,,
Coupling,,
SensorType,,
Low-pass filter,,
High-pass filter,,
Sensitive,,
Basic unit,,
Polarity,,
Threshold,,
Hysteresis,,
Divider,,

#EndHeader,Date/Time (µs),(1)EN-CH01
01/09/2024 14:40:36,228000,-1000.000
01/09/2024 14:40:36,229000,-1000.000
01/09/2024 14:40:36,230000,-1000.000
01/09/2024 14:40:36,231000,-1000.000
01/09/2024 14:40:36,232000,-1000.000
01/09/2024 14:40:36,233000,-1000.000
01/09/2024 14:40:36,234000,-1000.000
01/09/2024 14:40:36,235000,-1000.000
01/09/2024 14:40:36,236000,-1000.000
01/09/2024 14:40:36,237000,-1000.000
01/09/2024 14:40:36,238000,-1000.000
01/09/2024 14:40:36,239000,-1000.000
01/09/2024 14:40:36,240000,-1000.000
01/09/2024 14:40:36,241000,-1000.000
01/09/2024 14:40:36,242000,-1000.000
01/09/2024 14:40:36,243000,-1000.000
01/09/2024 14:40:36,244000,-1000.000
01/09/2024 14:40:36,245000,-1000.000
01/09/2024 14:40:36,246000,-1000.000
01/09/2024 14:40:36,247000,-1000.000
01/09/2024 14:40:36,248000,-1000.000
01/09/2024 14:40:36,249000,-1000.000
01/09/2024 14:40:36,250000,-1000.000
01/09/2024 14:40:36,251000,-1000.000
01/09/2024 14:40:36,252000,-1000.000
01/09/2024 14:40:36,253000,-1000.000
01/09/2024 14:40:36,254000,-1000.000
01/09/2024 14:40:36,255000,-1000.000
01/09/2024 14:40:36,256000,-1000.000
01/09/2024 14:40:36,257000,-1000.000
01/09/2024 14:40:36,258000,-1000.000
01/09/2024 14:40:36,259000,-1000.000
01/09/2024 14:40:36,260000,-1000.000
